author,datasets_cited,num_datasets
"Graham Neubig, Yosuke Nakata, Shinsuke Mori",on007763,1
"Graham Neubig, Yuichiroh Matsubayashi, Masato Hagiwara, Koji Murakami",on007763,1
"Tatsuki Kuribayashi, Yohei Oseki, Takumi Ito, Ryo Yoshida, Masayuki Asahara, Kentaro Inui","on007753,on007763",2
"Graham Neubig, Shinsuke Mori","on007753,on007763",2
"Akiko Matsuo, Kazutoshi Sasahara, Yasuhiro Taguchi, Minoru Karasawa",on007763,1
"Yasuharu Den, Junpei Nakamura, Toshinobu Ogiso, Hideki Ogura",on007763,1
"Hanae Koiso, Yasuharu Den, Yuriko Iseki, Wakako Kashino, Yoshiko Kawabata, Ken’ya Nishikawa, Yayoi Tanaka, Yasuyuki Usuda","on007753,on007763",2
"Nora Hollenstein, Emmanuele Chersoni, Cassandra L. Jacobs, Yohei Oseki, Laurent Prévot, Enrico Santus","nm000278,on007753,on007763",3
"Masayuki Asahara, Hiroshi Kanayama, Takaaki Tanaka, Yusuke Miyao, Sumire Uematsu, Shinsuke Mori, Yūji Matsumoto, Mai Omura, Yugo Murawaki",on007763,1
"Shohei Higashiyama, Masao Utiyama, Eiichiro Sumita, Masao Ideuchi, Yoshiaki Oida, Yohei Sakamoto, Isaac Okada",on007763,1
"Tatsuki Kuribayashi, Yohei Oseki, Ana Brassard, Kentaro Inui","on007753,on007763",2
"Nobuyuki Jincho, Gang Feng, Reiko Mazuka","on007753,on007763",2
"Taishi Ikeda, Hiroyuki Shindo, Yuji Matsumoto","on007753,on007763",2
"Jason A. Shaw, Shigeto Kawahara",on007763,1
"Olivera Grljević, Zita Bošnjak, Aleksandar Kovačević",on007763,1
"Katsuo Tamaoka, Shogo Makioka, Sander Sanders, Rinus G. Verdonschot",on007763,1
"Naoki Hirayama, Koichiro Yoshino, Katsutoshi Itoyama, Shinsuke Mori, Hiroshi G. Okuno",on007763,1
"Hideko Teruya, Vsevolod Kapatsinski",on007763,1
David Allen,on007763,1
"Peerat Limkonchotiwat, Wannaphong Phatthiyaphaibun, Raheem Sarwar, Ekapol Chuangsuwanich, Sarana Nutanong",on007763,1
"Naoyuki Sato, Riki Matsumoto, Akihiro Shimotake, Masao Matsuhashi, Mayumi Otani, Takayuki Kikuchi, Takeharu Kunieda, Hiroaki Mizuhara, Susumu Miyamoto, Ryōsuke Takahashi, Akio Ikeda","on007753,on007763",2
"Hiroyuki Shinnou, Masayuki Asahara, Kanako Komiya, Minoru Sasaki","on007753,on007763",2
"Terry Joyce, Bor Hodošček, Kikuko Nishina","on007753,on007763",2
Masataka Yano,"on007753,on007763",2
"Masayuki Asahara, Hajime Ono, Edson T. Miyamoto","on007753,on007763",2
"Yushi Sugimoto, Ryo Yoshida, Hyeonjeong Jeong, Masatoshi Koizumi, Jonathan Brennan, Yohei Oseki","nm000180,on007753,on007763",3
"David Allen, Kathy Conklin, Koji Miwa",on007763,1
"Mai Omura, Masayuki Asahara","on007753,on007763",2
"Masayuki Asahara, Yuji Matsumoto","on007753,on007763",2
"Naoyuki Sato, Hiroaki Mizuhara","on007753,on007763",2
Kikuo Maekawa,"on007753,on007763",2
"Nobuhiro Kaji, Masaru Kitsuregawa","on007753,on007763",2
"Naoko Tsuboi, Wendy S. Francis","on007753,on007763",2
"Kayako Matsuo, Kenta Kono, Kazutaka Shimoda, Yasushi Kaji, Kazufumi Akiyama","on007753,on007763",2
"Koji Miwa, Ton Dijkstra","on007753,on007763",2
"Yoshiaki Kitagawa, Mamoru Komachi","on007753,on007763",2
"Kanako Komiya, Masaya Suzuki, Tomoya Iwakura, Minoru Sasaki, Hiroyuki Shinnou",on007763,1
"Ryo Yoshida, Hiroshi Noji, Yohei Oseki","on007753,on007763",2
"Koji Miwa, Gary Libben, Yu Ikemoto","on007753,on007763",2
"Terry Joyce, Hisashi Masuda","on007753,on007763",2
"Shinsuke Mori, Graham Neubig",on007763,1
"Yoh Okuno, Shinsuke Mori",on007763,1
"Masayuki Asahara, Sachi Yasuda, Hikari Konishi, Mizuho Imada, Kikuo Maekawa","on007753,on007763",2
"Timothy Yee Bing Lun, Jock Wong",on007763,1
"Yushu Wu, Chunyu Kit","nm000278,on007753,on007763",3
"Lis Kanashiro Pereira, Erlyn Manguilimotan, Yūji Matsumoto","on007753,on007763",2
"Weijie Xu, Jason Chon, Tianran Liu, Richard Futrell","on007753,on007763",2
"Kimi Kaneko, Daisuke Bekki","on007753,on007763",2
"Meiko Fukuda, Ryota Nishimura, Hiromitsu Nishizaki, Koharu Horii, Yurie Iribe, Kazumasa Yamamoto, Norihide Kitaoka","on007753,on007763",2
"Takahiko Masuda, Keiko Ishii, Koji Miwa, Marghalara Rashid, Hajin Lee, Rania Mahdi","on007753,on007763",2
"Kanako Komiya, Hiroyuki Shinnou",on007763,1
"Bor Hodošček, Kikuko Nishina","on007753,on007763",2
"Meiko Fukuda, Ryota Nishimura, Hiromitsu Nishizaki, Yurie Iribe, Norihide Kitaoka","on007753,on007763",2
"Shohei Higashiyama, Masao Utiyama, Taro Watanabe, Eiichiro Sumita","on007753,on007763",2
"Hirotaka Kameko, Shinsuke Mori, Yoshimasa Tsuruoka",on007763,1
n/a,"nm000188,nm000243,on003518,on003519,on004080,on004194,on004483,on004532,on004951,on007763",10
"Itsumi Saito, Kyosuke Nishida, Kugatsu Sadamitsu, Kuniko Saito, Junji Tomita",on007763,1
"Masayuki Asahara, Hiroshi Kanayama, Yusuke Miyao, Takaaki Tanaka, Mai Omura, Yugo Murawaki, Yūji Matsumoto",on007763,1
"Shunsuke Kozawa, Kiyotaka Uchimoto, Yasuharu Den",on007763,1
"Yuqi Hao, Ming Yan","on007753,on007763",2
Naho Orita,"on007753,on007763",2
Masayuki Asahara,"on007753,on007763",2
"Manabu Okumura, Kiyoaki Shirai, Kanako Komiya, Hikaru Yokono","on007753,on007763",2
"Yohei Oseki, Masayuki Asahara","nm000180,nm000278,on007753,on007763",4
"Aomi Koyama, Tomoshige Kiyuna, Kenji Kobayashi, Mio Arai, Mamoru Komachi","on007753,on007763",2
"Jamie Taylor, Yoichi Mukai",on007763,1
"Yukino Ikegami, Setsuo Tsuruta, Andrea Kutics, Ernesto Damiani, Rainer Knauf",on007763,1
"Yoshinari Fujinuma, Alvin Grissom II","on007753,on007763",2
"Masato Hagiwara, S. Sekine",on007763,1
"Siwei Long, Yijie Wang, Jiaxuan Chen, Hongwen Cao, Yi Tang",on007763,1
"Keith B. Doelling, Luc H. Arnal, Oded Ghitza, David Poeppel",on007763,1
"Luc H. Arnal, Keith B. Doelling, David Poeppel",on007763,1
"Keith B. Doelling, David Poeppel",on007763,1
"Mary F. Howard, David Poeppel",on007763,1
"Esti Blanco-Elorrieta, Liina Pylkkänen","on007753,on007763",2
"María Florencia Assaneo, Pablo Ripollés, Joan Orpella, Wy Ming Lin, Ruth de Diego‐Balaguer, David Poeppel",on007763,1
"Adeen Flinker, Werner Doyle, Ashesh D. Mehta, Orrin Devinsky, David Poeppel",on007763,1
"Johanna Maria Rimmele, Elana Zion Golumbic, Erich Schröger, David Poeppel",on007763,1
"María Florencia Assaneo, David Poeppel",on007763,1
"Robert Fiorentino, David Poeppel",on007763,1
"Liina Pylkkänen, Andrew Stringfellow, Alec Marantz",on007763,1
"Jonathan Brennan, Liina Pylkkänen",on007763,1
"Laura Gwilliams, Tal Linzen, David Poeppel, Alec Marantz","on006104,on007763",2
"Joseph Fruchter, Alec Marantz",on007763,1
"Robert A. Seymour, Nicholas Alexander, Stephanie Mellor, George C. O’Neill, Tim M. Tierney, Gareth Robert Barnes, Eleanor A. Maguire","on007753,on007763",2
"William Matchin, Christian J. Brodbeck, Christopher Mathias Hammerly, Ellen F. Lau","on007753,on007763",2
"Sanne ten Oever, Charles E. Schroeder, David Poeppel, Nienke van Atteveldt, Ashesh D. Mehta, Pierre Mégevand, David M. Groppe, Elana Zion Golumbic",on007763,1
"Akiko Ikkai, Sangita Dandekar, Clayton E. Curtis",on007763,1
"Gwyneth A. Lewis, David Poeppel, Gregory L. Murphy",on007763,1
"Maria Chait, David Poeppel, Jonathan Z. Simon",on007763,1
