title,author,year,datasets_bridged,num_datasets
A resource for assessing dynamic binary choices in the adult brain using EEG and mouse-tracking,"Kun Chen, Ruien Wang, Jiamin Huang, Fei Gao, Zhen Yuan, Yanyan Qi, Haiyan Wu",2022,"nm000103,nm000110,nm000111,nm000113,nm000115,nm000120,nm000121,nm000122,nm000123,nm000124,nm000125,nm000128,nm000130,nm000131,nm000136,nm000139,nm000140,nm000141,nm000142,nm000143,nm000145,nm000146,nm000148,nm000151,nm000152,nm000153,nm000157,nm000166,nm000167,nm000168,nm000169,nm000170,nm000172,nm000174,nm000179,nm000180,nm000181,nm000184,nm000186,nm000187,nm000188,nm000191,nm000194,nm000197,nm000198,nm000199,nm000200,nm000201,nm000202,nm000204,nm000205,nm000207,nm000208,nm000209,nm000210,nm000212,nm000213,nm000215,nm000218,nm000219,nm000221,nm000222,nm000223,nm000224,nm000227,nm000231,nm000234,nm000235,nm000236,nm000237,nm000239,nm000240,nm000242,nm000243,nm000244,nm000245,nm000246,nm000247,nm000252,nm000257,nm000258,nm000259,nm000261,nm000262,nm000263,nm000265,nm000268,nm000269,nm000273,nm000301,nm000310,nm000313,nm000321,nm000329,nm000339,nm000340,nm000341,nm000343,nm000348,nm000351,on003029,on003352,on003392,on003498,on003703,on003766,on003876,on003922,on004012,on004100,on004107,on004229,on004276,on004278,on004324,on004346,on004395,on004473,on004541,on004951,on004993,on004998,on005241,on005261,on005307,on005403,on005406,on005494,on005505,on005506,on005507,on005508,on005511,on005515,on005594,on005620,on005624,on005811,on005857,on006035,on006126,on006386,on006629,on006720,on006839,on006840,on007058,on007169,on007172,on007262,on007338,on007358,on007454,on007615,on007895,on008465,on008701",157
Capturing the nature of events and event context using hierarchical event descriptors (HED),"Kay A. Robbins, Dung Truong, Stefan Appelhoff, Arnaud Delorme, Scott Makeig",2021,"nm000115,nm000121,nm000122,nm000123,nm000124,nm000125,nm000128,nm000130,nm000131,nm000136,nm000139,nm000140,nm000141,nm000142,nm000143,nm000144,nm000145,nm000146,nm000148,nm000151,nm000152,nm000157,nm000166,nm000167,nm000168,nm000169,nm000170,nm000172,nm000174,nm000179,nm000180,nm000181,nm000184,nm000186,nm000187,nm000188,nm000191,nm000194,nm000197,nm000198,nm000200,nm000201,nm000202,nm000204,nm000205,nm000207,nm000208,nm000209,nm000210,nm000212,nm000213,nm000218,nm000219,nm000221,nm000222,nm000223,nm000224,nm000227,nm000231,nm000234,nm000235,nm000236,nm000237,nm000239,nm000240,nm000242,nm000244,nm000245,nm000246,nm000247,nm000252,nm000257,nm000258,nm000259,nm000261,nm000262,nm000263,nm000265,nm000268,nm000269,nm000273,nm000301,nm000310,nm000313,nm000321,nm000329,nm000339,nm000340,nm000341,nm000343,nm000348,nm000351,on000117,on002718,on002778,on003029,on003352,on003392,on003498,on003645,on003703,on003876,on003922,on004012,on004100,on004105,on004106,on004107,on004118,on004119,on004120,on004121,on004122,on004123,on004229,on004276,on004278,on004324,on004346,on004395,on004473,on004541,on004951,on004993,on004998,on005241,on005261,on005307,on005403,on005406,on005494,on005594,on005620,on005624,on005810,on005857,on006035,on006126,on006386,on006629,on006720,on006840,on007058,on007169,on007172,on007262,on007338,on007358,on007454,on007523,on007524,on007615,on007895,on008465,on008701",155
ChineseEEG: A Chinese Linguistic Corpora EEG Dataset for Semantic Alignment and Neural Decoding,"Xinyu Mou, Cuilin He, Liwei Tan, Junjie Yu, Huadong Liang, Jianyu Zhang, Yan Tian, Yufang Yang, Ting Xu, Qing Wang, Miao Cao, Zijiao Chen, Hu Chuan-Peng, Xindi Wang, Quanying Liu, Haiyan Wu",2024,"nm000110,nm000111,nm000113,nm000115,nm000120,nm000121,nm000122,nm000123,nm000124,nm000125,nm000128,nm000130,nm000131,nm000136,nm000139,nm000140,nm000141,nm000142,nm000143,nm000145,nm000146,nm000148,nm000151,nm000152,nm000157,nm000166,nm000167,nm000168,nm000169,nm000170,nm000172,nm000174,nm000179,nm000180,nm000181,nm000184,nm000186,nm000187,nm000188,nm000191,nm000194,nm000197,nm000198,nm000199,nm000200,nm000201,nm000202,nm000204,nm000205,nm000207,nm000208,nm000209,nm000210,nm000212,nm000213,nm000215,nm000218,nm000219,nm000221,nm000222,nm000223,nm000224,nm000227,nm000231,nm000232,nm000234,nm000235,nm000236,nm000237,nm000239,nm000240,nm000242,nm000243,nm000244,nm000245,nm000246,nm000247,nm000252,nm000254,nm000257,nm000258,nm000259,nm000261,nm000262,nm000263,nm000265,nm000268,nm000269,nm000273,nm000278,nm000301,nm000310,nm000313,nm000321,nm000329,nm000339,nm000340,nm000341,nm000343,nm000348,nm000351,on003029,on003352,on003392,on003498,on003703,on003766,on003876,on003922,on004012,on004100,on004107,on004229,on004276,on004278,on004324,on004346,on004395,on004473,on004541,on004951,on004952,on004993,on004998,on005241,on005261,on005307,on005403,on005406,on005494,on005594,on005620,on005624,on005811,on005857,on006035,on006126,on006386,on006629,on006720,on006839,on006840,on007058,on007169,on007172,on007262,on007338,on007358,on007454,on007615,on007895,on008465,on008701",153
A large-scale MEG and EEG dataset for object recognition in naturalistic scenes,"Guohao Zhang, Ming Zhou, Shuyi Zhen, Shaohua Tang, Zheng Li, Zonglei Zhen",2025,"nm000110,nm000111,nm000113,nm000115,nm000120,nm000121,nm000122,nm000123,nm000124,nm000125,nm000128,nm000130,nm000131,nm000136,nm000139,nm000140,nm000141,nm000142,nm000143,nm000145,nm000146,nm000148,nm000151,nm000152,nm000157,nm000166,nm000167,nm000168,nm000169,nm000170,nm000172,nm000174,nm000179,nm000180,nm000181,nm000184,nm000186,nm000187,nm000188,nm000191,nm000194,nm000197,nm000198,nm000199,nm000200,nm000201,nm000202,nm000204,nm000205,nm000207,nm000208,nm000209,nm000210,nm000212,nm000213,nm000215,nm000218,nm000219,nm000221,nm000222,nm000223,nm000224,nm000227,nm000231,nm000234,nm000235,nm000236,nm000237,nm000239,nm000240,nm000242,nm000243,nm000244,nm000245,nm000246,nm000247,nm000252,nm000257,nm000258,nm000259,nm000261,nm000262,nm000263,nm000265,nm000268,nm000269,nm000273,nm000301,nm000310,nm000313,nm000321,nm000329,nm000339,nm000340,nm000341,nm000343,nm000348,nm000351,on003029,on003352,on003392,on003498,on003703,on003876,on003922,on004012,on004100,on004107,on004229,on004276,on004278,on004324,on004346,on004395,on004473,on004541,on004951,on004993,on004998,on005241,on005261,on005307,on005403,on005406,on005494,on005594,on005620,on005624,on005810,on005811,on005857,on006035,on006126,on006386,on006629,on006720,on006839,on006840,on007058,on007169,on007172,on007262,on007338,on007358,on007454,on007523,on007524,on007615,on007895,on008257,on008465,on008701",152
Building FAIR Functionality: Annotating Events in Time Series Data Using Hierarchical Event Descriptors (HED),"Kay A. Robbins, Dung Truong, Alexander Jones, Ian Callanan, Scott Makeig",2021,"nm000115,nm000121,nm000122,nm000123,nm000124,nm000125,nm000128,nm000130,nm000131,nm000136,nm000139,nm000140,nm000141,nm000142,nm000143,nm000144,nm000145,nm000146,nm000148,nm000151,nm000152,nm000157,nm000166,nm000167,nm000168,nm000169,nm000170,nm000172,nm000174,nm000179,nm000180,nm000181,nm000184,nm000186,nm000187,nm000188,nm000191,nm000194,nm000197,nm000198,nm000200,nm000201,nm000202,nm000204,nm000205,nm000207,nm000208,nm000209,nm000210,nm000212,nm000213,nm000218,nm000219,nm000221,nm000222,nm000223,nm000224,nm000227,nm000231,nm000234,nm000235,nm000236,nm000237,nm000239,nm000240,nm000242,nm000244,nm000245,nm000246,nm000247,nm000252,nm000257,nm000258,nm000259,nm000262,nm000263,nm000265,nm000268,nm000269,nm000273,nm000301,nm000310,nm000313,nm000321,nm000329,nm000339,nm000340,nm000341,nm000343,nm000348,nm000351,on000117,on002718,on002778,on003029,on003392,on003498,on003645,on003703,on003876,on003922,on004012,on004100,on004105,on004106,on004107,on004118,on004119,on004120,on004121,on004122,on004123,on004229,on004276,on004278,on004324,on004346,on004395,on004473,on004541,on004951,on004993,on004998,on005241,on005261,on005307,on005403,on005406,on005494,on005594,on005620,on005624,on005810,on005857,on006035,on006126,on006386,on006629,on006720,on006840,on007058,on007169,on007172,on007262,on007338,on007358,on007454,on007523,on007615,on007895,on008465,on008701",152
"DISCOVER-EEG: an open, fully automated EEG pipeline for biomarker discovery in clinical neuroscience","Cristina Gil Ávila, Felix S. Bott, Laura Tiemann, Vanessa D. Hohn, Elisabeth S. May, Moritz M. Nickel, Paul Theo Zebhauser, Joachim Groß, Markus Ploner",2023,"nm000110,nm000111,nm000113,nm000115,nm000120,nm000121,nm000122,nm000123,nm000124,nm000125,nm000128,nm000130,nm000131,nm000136,nm000139,nm000140,nm000141,nm000142,nm000143,nm000144,nm000145,nm000146,nm000148,nm000151,nm000152,nm000157,nm000166,nm000167,nm000168,nm000169,nm000170,nm000172,nm000174,nm000179,nm000180,nm000181,nm000184,nm000186,nm000187,nm000188,nm000191,nm000194,nm000197,nm000198,nm000199,nm000200,nm000201,nm000202,nm000204,nm000205,nm000207,nm000208,nm000209,nm000210,nm000212,nm000213,nm000215,nm000218,nm000219,nm000221,nm000222,nm000223,nm000224,nm000227,nm000231,nm000234,nm000235,nm000236,nm000237,nm000239,nm000240,nm000242,nm000243,nm000244,nm000245,nm000246,nm000247,nm000252,nm000257,nm000258,nm000259,nm000261,nm000262,nm000263,nm000265,nm000268,nm000269,nm000273,nm000301,nm000310,nm000313,nm000321,nm000329,nm000339,nm000340,nm000341,nm000343,nm000348,nm000351,on002778,on003029,on003352,on003392,on003498,on003703,on003876,on003922,on004012,on004100,on004107,on004229,on004276,on004278,on004324,on004346,on004395,on004473,on004541,on004951,on004993,on004998,on005241,on005261,on005307,on005403,on005406,on005494,on005594,on005620,on005624,on005811,on005857,on006035,on006126,on006386,on006629,on006720,on006839,on006840,on007058,on007169,on007172,on007262,on007338,on007358,on007454,on007615,on007895,on008465,on008701",150
Naturalistic viewing conditions can increase task engagement and aesthetic preference but have only minimal impact on EEG quality,"Dominik Welke, Edward A. Vessel",2022,"nm000110,nm000113,nm000115,nm000120,nm000121,nm000122,nm000123,nm000124,nm000125,nm000128,nm000130,nm000131,nm000136,nm000139,nm000140,nm000141,nm000142,nm000143,nm000144,nm000145,nm000146,nm000148,nm000151,nm000152,nm000157,nm000166,nm000167,nm000168,nm000169,nm000170,nm000172,nm000174,nm000179,nm000180,nm000181,nm000184,nm000186,nm000187,nm000188,nm000191,nm000194,nm000197,nm000198,nm000199,nm000200,nm000201,nm000202,nm000204,nm000205,nm000207,nm000208,nm000209,nm000210,nm000212,nm000213,nm000215,nm000218,nm000219,nm000221,nm000222,nm000223,nm000224,nm000227,nm000231,nm000234,nm000235,nm000236,nm000237,nm000239,nm000240,nm000242,nm000243,nm000244,nm000245,nm000246,nm000247,nm000252,nm000257,nm000258,nm000259,nm000261,nm000262,nm000263,nm000265,nm000268,nm000269,nm000273,nm000301,nm000310,nm000313,nm000321,nm000329,nm000339,nm000340,nm000341,nm000343,nm000348,nm000351,on002778,on003029,on003352,on003392,on003498,on003703,on003876,on003922,on004012,on004100,on004107,on004229,on004276,on004278,on004324,on004346,on004395,on004460,on004473,on004541,on004951,on004993,on004998,on005241,on005261,on005307,on005403,on005406,on005494,on005594,on005620,on005624,on005811,on005857,on006035,on006126,on006386,on006629,on006720,on006839,on006840,on007058,on007169,on007172,on007262,on007338,on007358,on007454,on007615,on007895,on008465,on008701",150
"A studyforrest extension, MEG recordings while watching the audio-visual movie “Forrest Gump”","Xingyu Liu, Yuxuan Dai, Hailun Xie, Zonglei Zhen",2022,"nm000110,nm000113,nm000115,nm000120,nm000121,nm000122,nm000123,nm000124,nm000125,nm000128,nm000130,nm000131,nm000136,nm000139,nm000140,nm000141,nm000142,nm000143,nm000145,nm000146,nm000148,nm000151,nm000152,nm000157,nm000166,nm000167,nm000168,nm000169,nm000170,nm000172,nm000174,nm000179,nm000180,nm000181,nm000184,nm000186,nm000187,nm000188,nm000191,nm000194,nm000197,nm000198,nm000199,nm000200,nm000201,nm000202,nm000204,nm000205,nm000207,nm000208,nm000209,nm000210,nm000212,nm000213,nm000215,nm000218,nm000219,nm000221,nm000222,nm000223,nm000224,nm000227,nm000231,nm000234,nm000235,nm000236,nm000237,nm000239,nm000240,nm000242,nm000243,nm000244,nm000245,nm000246,nm000247,nm000252,nm000257,nm000258,nm000259,nm000261,nm000262,nm000263,nm000265,nm000268,nm000269,nm000273,nm000301,nm000310,nm000313,nm000321,nm000329,nm000339,nm000340,nm000341,nm000343,nm000348,nm000351,on003029,on003392,on003498,on003633,on003703,on003876,on003922,on004012,on004100,on004107,on004229,on004276,on004278,on004324,on004346,on004395,on004473,on004541,on004951,on004993,on004998,on005241,on005261,on005307,on005403,on005406,on005494,on005594,on005620,on005624,on005810,on005811,on005857,on006035,on006126,on006386,on006629,on006720,on006839,on006840,on007058,on007169,on007172,on007262,on007338,on007358,on007454,on007523,on007524,on007615,on007895,on008465,on008701",150
"Addressing BCI inefficiency in c-VEP-based BCIs: A comprehensive study of neurophysiological predictors, binary stimulus sequences, and user comfort",Jordy Thielen,2025,"nm000110,nm000113,nm000115,nm000120,nm000121,nm000122,nm000123,nm000124,nm000125,nm000128,nm000130,nm000131,nm000136,nm000139,nm000140,nm000141,nm000142,nm000143,nm000145,nm000146,nm000148,nm000152,nm000157,nm000163,nm000166,nm000167,nm000168,nm000169,nm000170,nm000174,nm000179,nm000180,nm000181,nm000184,nm000186,nm000187,nm000188,nm000191,nm000194,nm000196,nm000197,nm000198,nm000199,nm000200,nm000201,nm000202,nm000204,nm000205,nm000207,nm000208,nm000209,nm000210,nm000212,nm000213,nm000214,nm000215,nm000218,nm000219,nm000221,nm000222,nm000223,nm000224,nm000227,nm000231,nm000234,nm000235,nm000236,nm000237,nm000239,nm000240,nm000242,nm000243,nm000244,nm000245,nm000246,nm000247,nm000252,nm000257,nm000258,nm000259,nm000261,nm000262,nm000263,nm000265,nm000268,nm000269,nm000273,nm000301,nm000310,nm000313,nm000321,nm000329,nm000339,nm000340,nm000341,nm000342,nm000343,nm000344,nm000345,nm000346,nm000348,nm000351,on003029,on003352,on003392,on003498,on003876,on003922,on004012,on004100,on004107,on004276,on004278,on004324,on004346,on004395,on004473,on004541,on004951,on004993,on004998,on005241,on005261,on005307,on005403,on005406,on005494,on005594,on005620,on005624,on005811,on005857,on006035,on006126,on006386,on006629,on006720,on006839,on006840,on007058,on007169,on007172,on007262,on007338,on007358,on007454,on007615,on007895,on008465,on008701",150
Introducing MEG-MASC a high-quality magneto-encephalography dataset for evaluating natural speech processing,"Laura Gwilliams, Graham Flick, Alec Marantz, Liina Pylkkänen, David Poeppel, Jean-Rémi King",2023,"nm000110,nm000111,nm000113,nm000115,nm000120,nm000121,nm000122,nm000123,nm000124,nm000125,nm000128,nm000130,nm000131,nm000136,nm000139,nm000140,nm000141,nm000142,nm000143,nm000145,nm000146,nm000148,nm000151,nm000152,nm000157,nm000166,nm000167,nm000168,nm000169,nm000170,nm000172,nm000174,nm000179,nm000180,nm000181,nm000184,nm000186,nm000187,nm000188,nm000191,nm000194,nm000197,nm000198,nm000199,nm000200,nm000201,nm000202,nm000204,nm000205,nm000207,nm000208,nm000209,nm000210,nm000212,nm000213,nm000215,nm000218,nm000219,nm000221,nm000222,nm000223,nm000224,nm000227,nm000231,nm000234,nm000235,nm000236,nm000237,nm000239,nm000240,nm000242,nm000243,nm000244,nm000245,nm000246,nm000247,nm000252,nm000257,nm000258,nm000259,nm000261,nm000262,nm000263,nm000265,nm000268,nm000269,nm000273,nm000301,nm000310,nm000313,nm000321,nm000329,nm000339,nm000340,nm000341,nm000343,nm000348,nm000351,on003029,on003352,on003392,on003498,on003703,on003876,on003922,on004012,on004100,on004107,on004229,on004276,on004278,on004324,on004346,on004395,on004473,on004541,on004951,on004993,on004998,on005241,on005261,on005307,on005403,on005406,on005494,on005594,on005620,on005624,on005811,on005857,on006035,on006126,on006386,on006629,on006720,on006839,on006840,on007058,on007169,on007172,on007262,on007338,on007358,on007454,on007615,on007763,on007895,on008465,on008701",149
