dataset1,dataset2,co_citation_count
nm000224,nm000257,244
nm000252,nm000257,243
nm000224,nm000252,242
on007753,on007763,236
nm000224,nm000261,225
nm000252,nm000261,225
nm000257,nm000261,225
nm000169,nm000188,213
nm000246,nm000348,180
nm000125,nm000201,177
nm000301,nm000340,174
nm000321,nm000340,173
nm000301,nm000313,172
nm000301,nm000321,172
nm000313,nm000340,172
nm000205,nm000340,171
nm000321,nm000351,171
nm000340,nm000351,171
nm000157,nm000191,170
nm000157,nm000197,170
nm000191,nm000197,170
nm000191,nm000301,170
nm000191,nm000340,170
nm000197,nm000351,170
nm000205,nm000301,170
nm000205,nm000343,170
nm000301,nm000351,170
nm000313,nm000321,170
nm000340,nm000343,170
nm000136,nm000265,169
nm000157,nm000200,169
nm000157,nm000351,169
nm000191,nm000313,169
nm000191,nm000321,169
nm000191,nm000351,169
nm000205,nm000321,169
nm000224,nm000258,169
nm000252,nm000258,169
nm000257,nm000258,169
nm000269,nm000351,169
nm000301,nm000343,169
nm000313,nm000351,169
nm000136,nm000310,168
nm000157,nm000301,168
nm000157,nm000321,168
nm000157,nm000340,168
nm000191,nm000200,168
nm000194,nm000212,168
nm000197,nm000200,168
nm000205,nm000313,168
