dataset_id,high_conf_citations,low_conf_citations,total_citations
on002778,323,44,367
nm000234,309,54,363
on007753,284,179,463
nm000343,241,17,258
nm000146,236,53,289
nm000188,227,54,281
nm000245,206,86,292
nm000212,205,30,235
nm000348,199,29,228
on004504,199,5,204
nm000145,191,102,293
nm000148,187,45,232
nm000125,185,41,226
nm000201,183,40,223
nm000219,176,45,221
nm000301,176,12,188
nm000340,176,12,188
nm000351,175,13,188
nm000313,172,16,188
nm000157,172,16,188
on007895,165,23,188
on006126,164,24,188
on008465,163,25,188
nm000247,163,25,188
nm000114,163,12,175
nm000244,162,47,209
on003739,162,7,169
nm000132,158,13,171
on005261,157,28,185
nm000151,157,74,231
nm000236,152,41,193
nm000339,152,10,162
on004100,152,51,203
on007262,151,38,189
nm000221,148,40,188
on008701,146,42,188
nm000111,142,59,201
on003004,138,41,179
nm000180,126,18,144
nm000152,122,79,201
nm000110,117,33,150
on000117,112,19,131
nm000215,102,16,118
nm000323,100,2,102
nm000338,100,3,103
nm000273,100,2,102
on002893,99,1,100
on004362,99,5,104
nm000224,98,2,100
nm000228,98,3,101
nm000257,98,2,100
on004018,98,2,100
on005185,98,2,100
nm000126,98,2,100
nm000252,97,3,100
nm000112,97,3,100
nm000129,97,3,100
nm000149,97,4,101
nm000261,96,4,100
on003498,96,6,102
on004348,96,4,100
nm000194,95,11,106
nm000278,95,6,101
nm000140,95,5,100
nm000267,94,7,101
nm000268,94,6,100
nm000173,94,6,100
on005406,94,6,100
nm000263,93,7,100
on005207,93,2,95
nm000258,92,3,95
on004212,92,8,100
on005857,92,8,100
nm000118,92,10,102
nm000225,91,10,101
on004347,91,9,100
nm000139,90,10,100
nm000185,89,17,106
on003645,89,24,113
nm000171,89,21,110
on003474,88,14,102
nm000169,88,15,103
on005624,88,12,100
nm000109,88,13,101
on002718,87,20,107
on004117,86,17,103
nm000143,86,15,101
nm000192,83,4,87
nm000311,83,9,92
on004010,83,11,94
nm000168,83,18,101
nm000135,83,17,100
nm000190,82,20,102
nm000231,82,18,100
nm000115,82,5,87
nm000189,81,21,102
nm000232,81,6,87
nm000243,81,19,100
nm000137,81,20,101
nm000198,80,21,101
on007069,80,13,93
nm000158,79,5,84
on007056,79,13,92
on007052,78,14,92
nm000172,76,24,100
on003518,76,24,100
on007139,76,16,92
on007870,75,4,79
on007763,74,27,101
nm000179,74,29,103
nm000144,74,11,85
on007096,74,18,92
nm000233,73,5,78
on003626,73,1,74
nm000184,72,3,75
nm000196,72,6,78
nm000123,72,27,99
nm000153,72,7,79
nm000113,71,29,100
nm000210,67,11,78
nm000275,67,33,100
nm000214,66,5,71
on003810,66,3,69
on004122,64,27,91
on007137,64,28,92
on004123,62,29,91
nm000206,61,8,69
on003838,59,5,64
on004532,58,42,100
on004121,57,27,84
on004120,55,29,84
on004118,53,31,84
on003846,53,33,86
on004080,52,23,75
nm000122,52,4,56
nm000167,52,7,59
nm000178,51,2,53
nm000177,50,4,54
on004350,50,8,58
on008257,47,10,57
nm000199,46,11,57
nm000229,46,1,47
nm000254,41,4,45
on003570,41,10,51
on004346,41,14,55
nm000119,40,5,45
nm000250,39,1,40
on003516,39,15,54
nm000121,39,6,45
on004902,39,2,41
nm000216,38,6,44
on004015,38,1,39
on004460,38,11,49
nm000120,38,4,42
on002885,36,1,37
ds004944,36,3,39
on003688,36,13,49
on004475,35,2,37
nm000246,34,5,39
on003638,34,13,47
on006563,34,3,37
on004796,33,0,33
on003392,32,5,37
on003620,31,5,36
on006036,31,0,31
on007523,30,2,32
on007524,30,2,32
on003690,29,11,40
on003775,29,2,31
nm000130,29,3,32
on005752,29,15,44
on004816,29,2,31
on004817,29,2,31
nm000205,28,1,29
nm000259,28,2,30
on003922,28,2,30
nm000166,28,8,36
nm000239,27,4,31
on004357,27,2,29
on004106,27,7,34
on004745,27,1,28
on004784,27,0,27
nm000195,26,11,37
on004105,26,16,42
on004577,26,7,33
nm000270,25,0,25
nm000249,25,6,31
on003374,25,3,28
on004119,25,9,34
on004505,25,2,27
on003522,24,1,25
on003655,23,1,24
on004952,23,1,24
nm000209,22,1,23
nm000342,22,2,24
on003039,22,42,64
on004635,22,0,22
nm000346,21,6,27
nm000344,21,4,25
nm000345,21,4,25
on004356,21,1,22
nm000163,21,5,26
on003517,20,5,25
on003505,20,3,23
nm000170,20,1,21
on003490,19,1,20
on006269,19,1,20
on007169,19,6,25
on005505,19,1,20
nm000341,18,3,21
on005385,18,0,18
on004148,17,0,17
on004151,17,0,17
on004107,17,2,19
on005509,17,0,17
on005515,17,0,17
nm000237,16,3,19
on004584,16,3,19
on005506,16,1,17
on005507,16,1,17
on005508,16,1,17
on005510,16,1,17
on005511,16,1,17
on005512,16,1,17
on005514,16,1,17
on005516,16,6,22
on004883,16,3,19
nm000251,15,3,18
nm000262,15,1,16
on003768,15,2,17
on003885,15,2,17
on004457,15,0,15
on004621,15,2,17
on005398,15,0,15
on004977,14,0,14
nm000329,13,0,13
on002761,13,1,14
on003710,13,1,14
on006012,13,1,14
on004998,13,3,16
on005121,12,0,12
nm000310,12,2,14
on003478,12,1,13
nm000142,12,1,13
nm000161,12,2,14
on005779,12,0,12
nm000193,11,1,12
nm000227,11,2,13
nm000235,11,3,14
nm000265,11,4,15
on004563,11,1,12
nm000136,11,3,14
on005087,11,1,12
on004444,10,1,11
on004446,10,1,11
on004447,10,1,11
on004295,10,0,10
on005620,10,6,16
on005571,10,12,22
on004837,10,0,10
on005048,10,0,10
on005169,10,0,10
nm000204,9,0,9
nm000217,9,3,12
nm000222,9,0,9
ds005234,9,0,9
on004194,9,0,9
on004579,9,0,9
on004642,9,0,9
nm000141,9,8,17
nm000208,8,3,11
nm000213,8,4,12
nm000223,8,1,9
on001787,8,0,8
on004448,8,1,9
on003944,8,0,8
on004580,8,1,9
on005340,8,0,8
on006171,8,0,8
on007615,8,92,100
on005106,8,0,8
on004395,7,0,7
on002799,7,0,7
on003947,7,0,7
on004229,7,0,7
on006334,7,0,7
on005408,7,0,7
on005555,7,0,7
nm000207,6,0,6
nm000240,6,2,8
on002181,6,1,7
on003061,6,0,6
on004473,6,1,7
on006761,6,1,7
on005811,6,1,7
on007609,6,1,7
nm000133,6,1,7
nm000347,5,1,6
on003766,5,3,8
on003555,5,0,5
on003702,5,0,5
on004381,5,0,5
on003876,5,0,5
on005795,5,0,5
on004706,5,0,5
on004078,4,0,4
on004147,4,1,5
on005574,4,0,4
on006018,4,0,4
on006104,4,0,4
on007358,4,0,4
on007526,4,0,4
ds004186,4,1,5
nm000124,4,2,6
nm000127,4,1,5
nm000147,4,0,4
nm000160,4,3,7
on007176,4,0,4
on004819,4,0,4
nm000211,3,2,5
nm000202,3,0,3
nm000230,3,3,6
nm000271,3,2,5
nm000260,3,1,4
nm000264,3,3,6
on003568,3,0,3
on003708,3,0,3
on003751,3,0,3
on003694,3,4,7
on004483,3,0,3
on004024,3,0,3
on006802,3,0,3
on004554,3,2,5
on006502,3,0,3
on006848,3,0,3
on005486,3,0,3
on005873,3,0,3
on007648,3,1,4
on007808,3,0,3
nm000162,3,0,3
nm000128,3,4,7
nm000131,3,0,3
on005345,3,0,3
on004951,3,0,3
on005034,3,0,3
nm000203,2,0,2
nm000276,2,2,4
nm000266,2,1,3
nm000274,2,0,2
nm000220,2,0,2
nm000242,2,0,2
on003190,2,2,4
on003670,2,0,2
on003506,2,0,2
on003774,2,0,2
ds005662,2,0,2
on004388,2,0,2
on004022,2,0,2
on004127,2,0,2
on003825,2,0,2
on003887,2,0,2
on003969,2,1,3
on004398,2,1,3
on007020,2,0,2
on006392,2,0,2
on006465,2,0,2
on006480,2,0,2
on004511,2,0,2
on004519,2,0,2
on004572,2,0,2
on004625,2,0,2
on006437,2,0,2
on006576,2,0,2
on006890,2,0,2
on005178,2,0,2
on005274,2,0,2
on005346,2,0,2
on005420,2,0,2
on005429,2,0,2
on005540,2,0,2
on005545,2,0,2
on005356,2,0,2
on007338,2,0,2
on007353,2,0,2
on007602,2,0,2
on007629,2,0,2
on007663,2,2,4
on007822,2,0,2
on005642,2,0,2
on006466,2,0,2
on007823,2,0,2
on007964,2,0,2
on004718,2,0,2
on004752,2,0,2
on004789,2,0,2
on004853,2,0,2
on004854,2,0,2
on004855,2,0,2
on005028,2,0,2
on002833,1,0,1
on003104,1,0,1
on003703,1,0,1
ds004771,1,0,1
on002791,1,0,1
on003029,1,1,2
nm000174,1,0,1
on003195,1,0,1
on003519,1,0,1
on007216,1,0,1
on007221,1,0,1
on003421,1,1,2
on003633,1,1,2
on002814,1,0,1
on002908,1,0,1
on003082,1,0,1
on003352,1,0,1
on003458,1,0,1
on003509,1,0,1
on004276,1,0,1
on004306,1,0,1
nm000104,1,0,1
on003848,1,0,1
on004033,1,0,1
on004043,1,0,1
on004315,1,0,1
on004389,1,0,1
ds006234,1,0,1
on004012,1,2,3
on004067,1,0,1
on004152,1,0,1
on004317,1,0,1
on004369,1,0,1
on006897,1,0,1
on006921,1,0,1
on007095,1,0,1
on006260,1,0,1
on006434,1,0,1
on006519,1,0,1
on006547,1,0,1
on006817,1,0,1
on006840,1,0,1
on006850,1,0,1
on007028,1,0,1
on004588,1,0,1
on004595,1,0,1
on004603,1,0,1
on004626,1,0,1
on006386,1,0,1
on006468,1,0,1
on006629,1,0,1
on006801,1,0,1
on005189,1,0,1
on005273,1,0,1
on005305,1,0,1
on005343,1,0,1
on005522,1,0,1
on005628,1,0,1
on005648,1,0,1
on005810,1,0,1
on005866,1,0,1
on005876,1,0,1
on006142,1,0,1
on007180,1,0,1
on006033,1,0,1
on006095,1,0,1
on005868,1,0,1
on005383,1,0,1
on005416,1,0,1
on005594,1,0,1
on005872,1,1,2
on006040,1,0,1
on006233,1,0,1
on007406,1,0,1
on007427,1,0,1
on007471,1,0,1
on007537,1,1,2
on007554,1,0,1
on007591,1,0,1
on007605,1,0,1
on007647,1,0,1
on007721,1,0,1
on007788,1,0,1
on008082,1,0,1
on008083,1,0,1
ds005697,1,0,1
nm000134,1,0,1
on005285,1,0,1
on007955,1,0,1
on004774,1,0,1
on004785,1,0,1
on004809,1,0,1
on004840,1,0,1
on004842,1,0,1
on004849,1,0,1
on004850,1,0,1
on004851,1,0,1
on004859,1,0,1
on004860,1,0,1
on004942,1,0,1
on005021,1,0,1
on005107,1,0,1
.mention_state,0,0,0
on008610,0,0,0
nm000279,0,0,0
nm000183,0,51,51
nm000186,0,0,0
nm000197,0,0,0
on008446,0,0,0
nm000280,0,0,0
on008711,0,0,0
nm000182,0,52,52
nm000187,0,0,0
nm000191,0,0,0
nm000200,0,0,0
on008496,0,1,1
on008768,0,0,0
nm000248,0,3,3
nm000303,0,0,0
nm000321,0,3,3
nm000336,0,0,0
on000246,0,101,101
on001810,0,0,0
on002094,0,4,4
ds004284,0,0,0
on000247,0,101,101
on001849,0,46,46
on002158,0,68,68
ds004330,0,0,0
nm000218,0,8,8
nm000238,0,2,2
