year,total_citations,high_confidence_citations,unique_datasets
2001,13,1,9
2002,14,3,10
2003,10,3,8
2004,33,6,21
2005,34,11,16
2006,65,27,19
2007,80,37,18
2008,79,46,18
2009,78,50,23
2010,147,105,26
2011,185,122,33
2012,226,169,38
2013,305,222,42
2014,372,261,47
2015,494,293,64
2016,539,352,70
2017,744,479,100
2018,1469,1129,225
2019,2598,2051,240
2020,3234,2599,260
2021,6728,5269,295
2022,8582,7106,307
2023,5262,4063,338
2024,7632,5891,378
2025,7898,6103,407
2026,3283,2982,432
